""	"Category"	"Category_Description"	"Abbreviation"	"Definition"
"Df"	"-"	"-"	"Df"	"Antifols (impairs the function of folic acids. This inhibits production of DNA, RNA, and proteins)"
"DHFR"	"-"	"-"	"DHFR"	"DHFR inhibitor"
"Ds"	"-"	"-"	"Ds"	"DNA synthesis inhibitor"
"IMPDH2"	"-"	"-"	"IMPDH2"	"IMPDH2 inhibitor"
"IMPDH"	"-"	"-"	"IMPDH"	"IMPDH inhibitor"
"PPAT"	"-"	"-"	"PPAT"	"PPAT inhibitor"
"Tu"	"-"	"-"	"Tu"	"Tubulin affecting"
"A7"	"-"	"-"	"A7"	"Alkylating at N-7 position of guanine"
"AlkAg"	"-"	"-"	"AlkAg"	"Alkylating agent"
"AM"	"-"	"-"	"AM"	"Antimetabolite"
"XDH"	"-"	"-"	"XDH"	"XDH inhibitor"
"Db"	"-"	"-"	"Db"	"DNA binder"
"Ho"	"-"	"-"	"Ho"	"hormone"
"AP"	"-"	"-"	"AP"	"Antiprotozoal"
"Rs"	"-"	"-"	"Rs"	"RNA synthesis inhibitor"
"TYMS"	"-"	"-"	"TYMS"	"TYMS inhibitor"
"Ste"	"NonCan"	"Non-cancer drug with FDA approval"	"Ste"	"Steroid"
"A2"	"-"	"-"	"A2"	"Alkylating at N-2 position of guanine"
"Dr"	"-"	"-"	"Dr"	"Ribonucleotide reductase inhibitor"
"Apo"	"-"	"-"	"Apo"	"Apoptosis inducer"
"PRKCA"	"PK"	"Protein kinase inhibitor"	"PRKCA"	"PRKCA (PRK) inhibitor"
"STK"	"PK"	"Protein kinase inhibitor"	"STK"	"Serine threonine kinase"
"anti-Ho"	"-"	"-"	"anti-Ho"	"anti-Hormone"
"CYP11A1"	"-"	"-"	"CYP11A1"	"CYP11A1 inhibitor"
"Tu-frag"	"-"	"-"	"Tu-frag"	"Tubulin fragmenter"
"Cath"	"NonCan"	"Non-cancer drug with FDA approval"	"Cath"	"Cathartic"
"Mito"	"-"	"-"	"Mito"	"Mitochondria; Warburg effect"
"HK2"	"-"	"-"	"HK2"	"hexokinase II inhibitor"
"PGR"	"-"	"-"	"PGR"	"PGR inhibitor"
"TOP2"	"-"	"-"	"TOP2"	"Topoisomerase 2 inhibitor"
"A6"	"-"	"-"	"A6"	"Alkylating at O-6 of guanine"
"Psy"	"NonCan"	"Non-cancer drug with FDA approval"	"Psy"	"Antipsychotic"
"TOP1"	"-"	"-"	"TOP1"	"Topoisomerase 1 inhibitor"
"DNMT"	"-"	"-"	"DNMT"	"DNA methylttransferase inhibitor"
"ADA"	"-"	"-"	"ADA"	"Adenosine deaminase"
"Pi"	"-"	"-"	"Pi"	"protein synthesis inhibitor"
"RXR"	"-"	"-"	"RXR"	"Retinoic acid receptor"
"Differentiator"	"-"	"-"	"Differentiator"	"Causes differentiation of progenitor cancer cells."
"Tu-stab"	"-"	"-"	"Tu-stab"	"Tubulin stabilizer"
"Ang"	"-"	"-"	"Ang"	"Angiogenesis inhibitor"
"DDI"	"-"	"-"	"DDI"	"DNA damage inducer"
"RDI"	"-"	"-"	"RDI"	"RNA damage inducer"
"Cardioprotective"	"NonCan"	"Non-cancer drug with FDA approval"	"Cardioprotective"	"Helps prevent heart problems caused by doxorubicin."
"ROS1"	"PK"	"Protein kinase inhibitor"	"ROS1"	"ROS1 inhibitor"
"SERM"	"-"	"-"	"SERM"	"Selective estrogen receptor modulator"
"PIK3"	"PK"	"Protein kinase inhibitor"	"PIK3"	"Phosphoinositide-3-Kinase"
"MTOR"	"PK"	"Protein kinase inhibitor"	"MTOR"	"MTOR inhibitor"
"HSP90"	"-"	"-"	"HSP90"	"HSP90(AA1, AB1)"
"HDAC"	"-"	"-"	"HDAC"	"Histone deacetylase"
"YK"	"PK"	"Protein kinase inhibitor"	"YK"	"Tyrosine kinase inhibitor"
"SYK"	"PK"	"Protein kinase inhibitor"	"SYK"	"SYK inhibitor"
"TLR7"	"-"	"-"	"TLR7"	"TLR7 inhibitor"
"Multikinase"	"PK"	"Protein kinase inhibitor"	"Multikinase"	"Multikinase inhibitor"
"DDR"	"-"	"-"	"DDR"	"DNA damage repair"
"AKT"	"PK"	"Protein kinase inhibitor"	"AKT"	"Akt inhibitor"
"CCNT1"	"-"	"-"	"CCNT1"	"CCNT1 inhibitor"
"CDK"	"PK"	"Protein kinase inhibitor"	"CDK"	"CDK inhibitor"
"CDK7"	"PK"	"Protein kinase inhibitor"	"CDK7"	"CDK7 inhibitor"
"CDK8"	"PK"	"Protein kinase inhibitor"	"CDK8"	"CDK8 inhibitor"
"CDK9"	"PK"	"Protein kinase inhibitor"	"CDK9"	"CDK9 inhibitor"
"CC"	"-"	"-"	"CC"	"Cell cycle"
"Mal"	"NonCan"	"Non-cancer drug with FDA approval"	"Mal"	"Malaria"
"Pase"	"-"	"-"	"Pase"	"Phosphatase inhibitor"
"MAP2K"	"PK"	"Protein kinase inhibitor"	"MAP2K"	"MAP2K (MEK) inhibitor"
"MAP2K1"	"PK"	"Protein kinase inhibitor"	"MAP2K1"	"MAP2K1 inhibitor"
"MAP2K2"	"PK"	"Protein kinase inhibitor"	"MAP2K2"	"MAP2K2 inhibitor"
"PSM"	"-"	"-"	"PSM"	"proteasome inhibitor"
"IL"	"-"	"-"	"IL"	"Interleukin"
"GARTF"	"-"	"-"	"GARTF"	"GARTF inhibitor"
"CDK2"	"PK"	"Protein kinase inhibitor"	"CDK2"	"CDK2 inhibitor"
"EGFR"	"PK"	"Protein kinase inhibitor"	"EGFR"	"EGFR inhibitor."
"ITG"	"-"	"-"	"ITG"	"integrin affector"
